Num_Acc,id_vehicule,num_veh,place,catu,sexe,trajet,secu1,secu2,secu3,locp,actp,etatp,year_acc,victim_age,senc,catv,obs,obsm,choc,manv,motor,occutc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,jour,mois,an,hrmn,lum,dep,com,agg_,int,atm,col,adr,lat,long,hour,nb_victim,nb_vehicules
202100009584,184Â 577,B01,1,1,2,0,8,-1,-1,-1, -1,-1,2021,48.0,1,1,0,2,7,19,3,,4,CANUTS (DES)                            ,0,,2,3,1,1,(1),(1),1,, -1,1,0,1,50,3,11,2021,17:25,2,69,69256,2,2,0,1,CANUTS (DES) (AV) ,45.76271,4.92926,17,2,2
202100033278,142Â 288,A01,1,1,1,9,1,-1,-1,0,0,-1,2021,21.0,1,2,2,0,3,1,1,,3,538,-1,,3,2,0,1,42,420,2,, -1,1,0,3,80,20,6,2021,07:15,2,26,26004,1,1,0,6,Route de Chabeuil,44.969026,5.024389,7,3,1
202100048041,115Â 870,A01,1,1,1,9,2,6,-1,0,0,-1,2021,26.0,1,1,1,0,7,21,1,,4,AVENUE DE SEGUR,0,,2,4,0,1,(1),(1),1,, -1,2,0,1,50,13,3,2021,21:40,5,75,75107,2,3,1,6,AVENUE DE SEGUR,48.848522,2.306789,21,1,1
202100048403,115Â 238,A01,1,1,1,4,2,8,-1,-1, -1,-1,2021,20.0,1,1,0,2,1,13,3,,4,GAMBETTA (RUE LEON),0,,2,2,0,1,(1),(1),1,, -1,2,0,1,30,10,3,2021,19:20,5,56,56121,2,1,1,1,GAMBETTA (RUE LEON),47.74542,-3.36759,19,2,2
202100031084,146Â 182,A01,1,1,1,9,1,0,-1,-1, -1,-1,2021,26.0,1,2,1,0,1,26,1,,4,BRUYERES RUE DES,0,,2,2,0,1,1,0,1,, -1,1,0,1,50,27,6,2021,22:40,5,49,49015,2,1,0,6,BRUYERES RUE DES,47.49648,-0.58514,22,1,1
202100032879,142Â 994,B01,2,2,1,9,1,0,-1,-1, -1,-1,2021,21.0,3,2,0,2,4,23,1,,4,AUBERDIERE (RUE DE L'),0,,1,1,0,1,(1),(1),3,, -1,2,0,1,50,22,6,2021,22:00,5,37,37261,2,1,1,2,AUBERDIERE (RUE DE L'),47.3633443328,0.6956172365,22,3,2
202100046383,118Â 861,B01,1,1,2,4,8,0,-1,0,0,-1,2021,51.0,1,1,0,2,1,1,5,,4,RUE D ARTOIS,0,,1,1,0,1,(1),(1),1,, -1,1,0,1,50,26,3,2021,09:20,1,75,75108,2,4,0,3,RUE D ARTOIS,48.872660056,2.3081980147,9,2,2
202100035664,137Â 961,B01,1,1,1,4,2,6,-1,-1, -1,-1,2021,59.0,2,1,0,2,2,17,1,,4,BOEUF (CHEMIN) (2),0,,2,2,0,2,561,0,1,, -1,2,0,1,50,7,6,2021,07:45,1,974,97416,1,1,1,3,BOEUF (CHEMIN) (2),-21.2976,55.4554,7,2,2
202100025981,155Â 239,B01,1,1,1,0,1,0,-1,-1, -1,-1,2021,21.0,1,2,0,2,4,1,1,,2,PERIPHERIQUE,0,,3,4,0,1,7,350,1,, -1,1,0,1,90,31,7,2021,23:00,3,44,44172,1,1,0,2,PERIPHERIQUE,47.23512,-1.47798,23,3,2
202100008193,187Â 076,A01,1,1,1,1,1,5,-1,0,0,-1,2021,23.0,2,2,15,0,2,1,1,,3,194,0,D,2,2,0,1,1,0,2,, -1,1,0,8,80,15,11,2021,13:20,1,16,16277,1,1,0,7,RD 194 - la flaudrie,45.739316,-0.26644,13,1,1
202100017289,170Â 748,B01,9,2,2,5,1,3,-1,0,0,-1,2021,1.0,2,2,0,2,4,2,1,,1,7,0,,2,3,0,1,239,0,1,, -1,1,0,1,130,23,9,2021,10:20,1,13,13051,1,1,0,4,A7,43.590345,5.18706,10,6,3
202100021397,163Â 401,B01,1,1,1,1,1,-1,-1,-1,0,-1,2021,33.0,1,2,0,2,4,2,1,,2,RN 104,0,,3,4,0,1,2,900,1,, -1,1,0,1,110,2,9,2021,17:50,1,95,95151,1,1,0,2,RN 104,49.06254,2.27598,17,2,2
202100036396,136Â 644,B01,1,1,1,1,6,-1,-1,-1, -1,-1,2021,38.0,2,1,0,2,6,1,1,,4,LIXENBUHL (RUE),0,,2,2,3,1,0,0,1,, -1,1,5,1,50,4,6,2021,08:00,1,67,67218,2,3,0,1,LIXENBUHL (RUE),48.52954,7.72704,8,2,2
202100009118,185Â 411,B01,1,1,1,9,8,0,-1,0,0,-1,2021,24.0,1,1,0,2,1,1,5,,4,PLACE CHARLES DE GAULLE,0,,1,5,0,1,(1),(1),2,, -1,1,0,1,50,6,11,2021,01:50,5,75,75116,2,7,0,3,PLACE CHARLES DE GAULLE,48.873294,2.295539,1,2,2
202100023265,160Â 030,A01,2,2,1,5,2,8,-1,-1, -1,-1,2021,13.0,1,1,8,0,2,17,1,,7,BRUMATH (ROUTE DE),0,,2,2,0,1,(1),(1),1,, -1,1,0,1,50,18,8,2021,23:35,5,67,67204,2,1,0,6,BRUMATH (ROUTE DE),48.622266,7.730697,23,2,1
202100046476,118Â 711,A01,1,1,1,9,1,-1,-1,-1, -1,-1,2021,32.0,2,2,3,0,1,13,1,,1,ROCADE A 630,0,,3,6,0,1,6,139,1,, -1,1,0,1,90,27,3,2021,05:40,2,33,33063,1,1,0,5,ROCADE A 630,44.887036,-0.570967,5,3,3
202100050264,111Â 875,B01,1,1,2,9,1,-1,-1,0,0,-1,2021,33.0,3,2,0,2,8,1,1,,3,104,-1,,2,2,0,2,1,700,2,, -1,1,0,1,80,24,2,2021,21:15,3,7,7181,1,1,0,3,"Route de PRIVAS, DÃ©partemantale 104",44.759046,4.744474,21,2,2
