place,catu,sexe,secu1,year_acc,victim_age,catv,obsm,motor,catr,circ,surf,situ,vma,jour,mois,lum,dep,com,agg_,int,atm,col,lat,long,hour,nb_victim,nb_vehicules
1,1,2,1.0,2021,48.0,2.0,2.0,1.0,4,2.0,2.0,1.0,50.0,3,1,5,64,64260,2,4,1.0,3.0,43.370099,-1.758541,8,2,2
10,3,2,0.0,2021,93.0,2.0,1.0,1.0,4,1.0,1.0,1.0,50.0,21,2,1,69,69387,2,2,0.0,6.0,45.7450877695,4.8487409614,10,2,1
10,3,1,0.0,2021,14.0,1.0,1.0,1.0,3,3.0,1.0,8.0,30.0,26,11,1,77,77186,2,1,0.0,6.0,48.402105,2.687202,8,2,1
1,1,1,1.0,2021,38.0,2.0,2.0,1.0,1,3.0,1.0,1.0,130.0,28,6,1,67,67125,1,1,0.0,2.0,48.356591,7.499456,8,2,2
1,1,1,2.0,2021,28.0,1.0,6.0,1.0,3,2.0,1.0,1.0,80.0,21,7,3,37,37216,1,1,0.0,6.0,47.1394218255,0.522426988,4,1,1
2,1,1,8.0,2021,28.0,1.0,2.0,1.0,3,2.0,2.0,1.0,50.0,17,3,5,92,92020,2,9,1.0,1.0,48.8049540153,2.2900785721,20,2,2
10,3,2,0.0,2021,16.0,2.0,1.0,1.0,4,2.0,2.0,1.0,30.0,25,3,1,75,75113,2,1,1.0,6.0,48.831142,2.360986,11,2,1
10,3,1,0.0,2021,15.0,2.0,1.0,1.0,4,2.0,1.0,1.0,50.0,30,10,1,69,69259,2,2,0.0,6.0,45.72422,4.87145,13,2,1
1,1,1,1.0,2021,44.0,2.0,2.0,1.0,3,2.0,1.0,1.0,90.0,17,12,1,60,60102,1,1,0.0,1.0,49.306532,2.533379,8,3,2
1,1,1,1.0,2021,67.0,2.0,0.0,1.0,3,2.0,7.0,1.0,90.0,16,12,1,16,16124,1,1,0.0,6.0,45.684398,0.566773,10,1,1
10,3,1,0.0,2021,50.0,2.0,1.0,1.0,3,2.0,2.0,1.0,50.0,5,12,5,71,71040,2,1,1.0,6.0,46.69793,4.39039,18,3,1
1,1,2,8.0,2021,24.0,2.0,0.0,1.0,3,2.0,7.0,3.0,90.0,2,12,3,3,3297,1,1,1.0,7.0,46.51954,2.606893,23,2,1
10,3,1,0.0,2021,29.0,2.0,1.0,1.0,3,2.0,1.0,1.0,50.0,15,4,5,91,91216,2,3,0.0,6.0,48.673027,2.327581,5,2,1
1,1,1,2.0,2021,48.0,1.0,2.0,1.0,3,2.0,1.0,1.0,80.0,11,12,3,76,76404,1,1,0.0,5.0,49.58544,0.250475,18,5,3
1,1,1,0.0,2021,73.0,1.0,2.0,5.0,3,2.0,1.0,1.0,70.0,1,7,1,27,27013,1,1,0.0,3.0,49.311499,1.248617,8,2,2
1,1,1,1.0,2021,26.0,2.0,0.0,1.0,3,2.0,2.0,3.0,80.0,22,1,1,91,91156,1,1,1.0,6.0,48.538091,2.285972,11,1,1
1,1,1,1.0,2021,41.0,2.0,2.0,1.0,1,3.0,2.0,1.0,110.0,13,7,1,92,92036,1,1,0.0,2.0,48.9383700387,2.3001401108,18,2,2
1,1,1,2.0,2021,51.0,1.0,2.0,1.0,3,2.0,1.0,1.0,30.0,6,7,1,78,78224,2,9,0.0,1.0,48.86311,2.06787,16,2,2
10,3,2,0.0,2021,45.0,2.0,1.0,1.0,4,2.0,1.0,1.0,50.0,9,3,1,75,75109,2,2,0.0,6.0,48.8701085941,2.3291145135,17,3,1
10,3,1,0.0,2021,1.0,2.0,1.0,1.0,4,2.0,1.0,1.0,30.0,1,9,1,13,13103,2,1,0.0,3.0,43.63764,5.09925,15,2,1
4,2,2,3.0,2021,4.0,2.0,2.0,1.0,1,3.0,1.0,1.0,90.0,20,11,5,94,94073,1,1,0.0,2.0,48.7592916531,2.3835324056,21,5,2
1,1,2,1.0,2021,46.0,2.0,2.0,1.0,3,2.0,1.0,1.0,50.0,30,5,1,94,94078,2,1,0.0,2.0,48.72903,2.44709,18,2,2
